,paper_id,paper_title,cmt_id,cmt_title,cmt_signatures,cmt_content,cmt_category,cmt_sentiment,arxiv_cdate,cmt_cdate,arxiv_availability
0,6iEoTr-jeB7,Learning Continuous Normalizing Flows For Faster Convergence To Target Distribution via Ascent Regularizations,RSHAXYU0R1,Probably missing citations and some questions,['~Kaiwen_Zheng2'],"I appreciate the author's idea of using score on the trajectory as regularizer. But from my view, is the main theorem of this paper, Theorem 2 (Instantaneous Change of Score Function) the same as Theorem D.1 in ScoreODE [1]? I hope the author can add some citations and discuss their relations.

Another thing is from the practical perspective: I think one of the main problems of FFJORD is time consumption, since solving the ode (Instantaneous Change of Log-likelihood) is highly intractable on high-dimensional case. The author's regularizer further needs to solve a more complex ode (Instantaneous Change of Score) when training, so I'm curious about the tractability on real datasets such as CIFAR-10. In this sense, I think the author's method doesn't solve the real critical problem of FFJORD. I hope the author can make some clarification on this question.

As far as I know, the recent training of CNF is mostly through score-based models, such as ScoreFlow [2] and ScoreODE [1]. I think it will be more convincing if the author can make more related comparisons, both theoretically and experimentally. 

In summary, the author proposes a regularizer to stabilize the training of CNFs. While experimentally making improvements, I have some questions about its relationship with some recent works, especially score-based models, and the experimental advantage over them. I hope more demonstration about these questions can make this work more complete.

[1] Lu, Cheng, et al. ""Maximum likelihood training for score-based diffusion odes by high order denoising score matching."" International Conference on Machine Learning. PMLR, 2022.
[2] Song, Yang, et al. ""Maximum likelihood training of score-based diffusion models."" Advances in Neural Information Processing Systems 34 (2021): 1415-1428.",questionable contribution,-1,,2022-11-08 11:00:50+00:00,False
1,0OlEBibFa_g,"Detecting Out-of-Distribution Data with Semi-supervised Graph “Feature"" Networks",MwBZ9qaqVj,Attribution of library used for experiments,['~Benedek_Andras_Rozemberczki1'],"It is reasonable to assume that the paper uses the Karate Club library for the experiments extensively, yet it is not cited. Please add the citation if it was used for the experiments:

```bibtex
@inproceedings{karateclub,
       title = {{Karate Club: An API Oriented Open-source Python Framework for Unsupervised Learning on Graphs}},
       author = {Benedek Rozemberczki and Oliver Kiss and Rik Sarkar},
       year = {2020},
       pages = {3125–3132},
       booktitle = {Proceedings of the 29th ACM International Conference on Information and Knowledge Management (CIKM '20)},
       organization = {ACM},
}
```

",missing or wrong reference,0,,2022-11-05 20:28:16+00:00,False
2,cZM4iZmxzR7,Simple Spectral Graph Convolution from an Optimization Perspective,f_UYiyBMbbQ,Misattribution of datasets,['~Benedek_Andras_Rozemberczki1'],"The paper misattributes the Chameleons and Squirrels datasets. These datasets were proposed in this ICLR submission:

https://openreview.net/forum?id=HJxiMAVtPH&referrer=%5Bthe%20profile%20of%20Carl%20Allen%5D(%2Fprofile%3Fid%3D~Carl_Allen1)

The paper cited by the authors took these datasets and used them for benchmarking. The accepted version of the ICLR submission which proposed these datasets is:
```bibtex
>@article{musae,
          author = {Rozemberczki, Benedek and Allen, Carl and Sarkar, Rik},
          title = {{Multi-Scale Attributed Node Embedding}},
          journal = {Journal of Complex Networks},
          volume = {9},
          number = {2},
          year = {2021},
}
```",missing or wrong reference,0,,2022-11-05 19:54:25+00:00,False
3,cZM4iZmxzR7,Simple Spectral Graph Convolution from an Optimization Perspective,1zQPZtBK4X,Relevant Work,['~Sitao_Luan1'],"Thank the authors for having this interesting paper which leverages Krylov subspace for graph representation learning. I would like to highlight one relevant work [1] that proposes truncated Krylov and snowball networks for deep GNNs. If you are interested in heterophily problem and would like to know how snowball GNNs can perform well on heterophilic graphs, we want to introduce our recent work [2]. Good luck to your rebuttal.

[1] Luan S, Zhao M, Chang X W, et al. Break the ceiling: Stronger multi-scale deep graph convolutional networks[J]. Advances in neural information processing systems, 2019, 32.

[2] Luan S, Hua C, Lu Q, et al. Revisiting Heterophily For Graph Neural Networks[J]. NeurIPS 2022. arXiv:2210.07606, 2022.
",missing or wrong reference,0,,2022-11-14 21:40:54+00:00,False
4,688hNNMigVX,Learning a Data-Driven Policy Network for Pre-Training Automated Feature Engineering,eDYga8Xhm7,Unable to reproduce the experiments,['~Tianping_Zhang1'],"Thanks for your interesting work. We are attracted by your work and try to run your models on our datasets. However, critical files are missing and the codes in your supplementary materials cannot run. For example, the ‘instance_selection’ file imported in main_attention.py is missing. In addition, it would be much appreciated if you could provide all the dependencies needed to run the codes as well as all the scripts and hyperparameters needed to reproduce the experimental results.",reproducibility issue,-1,,2022-11-09 03:05:37+00:00,False
5,688hNNMigVX,Learning a Data-Driven Policy Network for Pre-Training Automated Feature Engineering,SFaE6o03E1x,From a concurrent submission to ICLR2023,['~Mark_Wang1'],"Thanks for the interesting work. We are coming from a concurrent submission to ICLR2023 on the topic of automated feature generation (https://openreview.net/forum?id=CnG8rd1hHeT&noteId=OhEP681JJL) (we used very different approach though). Our algorithm is very lightweight and efficient, so we quickly test our methods OpenFE on the datasets you provided in the supplementary materials. Surprisingly, we find out that OpenFE outperforms FETCH on 17 out of 20 datasets used in your paper. We have investigated the details of your supplementary materials and tried our best to ensure fair comparisons on the same experimental settings. We have released the codes in our supplementary materials, and you are welcome to reproduce our results (please refer to more details in our response to all reviewers https://openreview.net/forum?id=CnG8rd1hHeT&noteId=KihCSC53QS0). In addition, we cannot reproduce your results due to the absence of crucial files in the supplementary materials.

To abide by the ICLR anonymity rule, we asked a third party to post the comment for us (so Mark Wang is not a co-author). 
",reproducibility issue,-1,,2022-11-14 08:09:05+00:00,False
6,688hNNMigVX,Learning a Data-Driven Policy Network for Pre-Training Automated Feature Engineering,iKfplf6OmL,This is an updated version of our previous response.,['~Mark_Wang1'],"Dear FETCH authors.

We agree that it would be perfectly fine that a paper does not compare with concurrent submission. In this regard, our first comments may unfortunately bring unwanted attention that could negatively impact the reviewers' judgement. It was a bit late for us to published further response since ICLR didn't allow public comments for some time.  Fortunately, it turned out that this does not impact the reviewers' and AC's decision.

While we still think it is important to report out-of-sample scores, we will leave a formal discussion and comparison to the next version of the OpenFE paper. Indeed, many experimental details may impact the performance, and it would be hasty to publish comparison results during the short period of the rebuttal. Hence, we retract the experimental results in our second response, and we will make a formal experimental comparison in the OpenFE paper. 

Finally, our previous response did not mean to be unfriendly, and we hope our discussion is only about machine learning.
Indeed, we really appreciate that FTECH authors care this problem as we do and provide interesting methods for tackling it.

Thanks for your attention.

OpenFE authors.",na,0,,2022-11-19 09:46:01+00:00,False
7,pRCMXcfdihq,Protein Sequence and Structure Co-Design with Equivariant Translation,uzB2zzYJBT,some confusion about your cdr design benchmark,['~Chentong_Wang1'],"I am very confused by your cdr benchmark, because your paper said that you do all rmsd metric by align designded structure on frame, but in TERATIVE REFINEMENT GRAPH NEURAL NETWORK FOR ANTIBODY SEQUENCE-STRUCTURE CO-DESIGN, Jin et al. (2021), they only use frame sequence as coarsed grained node, and the predict result is only the cdr coords and sequence, which means there is no possibility to test its performance on framed aligned rmsd since there is no way to know how predicted cdr graft to native frame, it would be preferred to describe a little how you recover backbone from coarse grainde node to do the frame align since without doing big modification, it cant be made by origin model",problematic empirical evaluation,-2,2022-10-17 06:00:12+00:00,2022-11-14 08:39:36+00:00,True
8,6ruVLB727MC,UL2: Unifying Language Learning Paradigms,0FZGVuTXak,"""Successfully leverag[ing] CoT"" claim seems dubious",['~Stella_Rose_Biderman1'],"You write

> Here we demonstrate that UL2 20B is the first publicly available pre-trained model (without any fine-tuning) to successfully leverage CoT prompting to solve multi-step arithmetic and common-sense tasks.

I have two issues with this claim. Firstly, the performance improvement from CoT is quite small as shown in Table 15. The average improvement is from 13.5 to 15.3, with some improvements being as small as from 4.1 to 4.4. When someone says that they successfully used a technique to solve arithmetic tasks, I expect that to mean that they performed well at the tasks (which UL2 doesn't) and performed much better than they would have without the tech (which is at best non-obvious). Secondly, you repeatedly state variants on ""UL2 is the first open source and non-large (<100B) parameter scale model that benefits from CoT reasoning."" However I see no evidence for a claim like this in your paper. It is the first open source < 100B parameter model that has been *evaluated using CoT prompting* as far as I am aware, but your claim specifically states that models like EleutherAI's GPT-NeoX-20B, BigScience's T0++, and Meta's OPT-66B don't benefit from CoT prompting. In order to claim this, you need to have evaluated those models and found that they don't benefit from CoT prompting.",problematic empirical evaluation,-2,2022-05-10 19:32:20+00:00,2022-11-07 02:24:45+00:00,True
9,wKPmPBHSnT6,Ordered GNN: Ordering Message Passing to Deal with Heterophily and Over-smoothing,YUatcc8hzq,Misattribution of datasets,['~Benedek_Andras_Rozemberczki1'],"The paper misattributed the authorship of the Chameleons and Squirrels datasets. These datasets were proposed in this ICLR submission:

https://openreview.net/forum?id=HJxiMAVtPH

The Pei et al. paper cited by the authors took the Squirrel and Chameleons datasets and used those for benchmarking, but had nothing to do with the creation of the datasets. The correct citation for the paper which proposed the datasets is:

```bibtex
>@article{musae,
          author = {Rozemberczki, Benedek and Allen, Carl and Sarkar, Rik},
          title = {{Multi-Scale Attributed Node Embedding}},
          journal = {Journal of Complex Networks},
          volume = {9},
          number = {2},
          year = {2021},
}
```
",missing or wrong reference,0,2023-02-03 03:38:50+00:00,2022-11-05 20:30:55+00:00,False
